Operator,Resources,Time
GPU-AIBModePers,140,2477.801
GPU-AIBModePers,142,2297.224
GPU-AIPlaxCham,2,40132.209
GPU-AIPlaxCham,4,20642.503
GPU-AIPlaxCham,6,13568.91
GPU-AIPlaxCham,8,10323.682
GPU-AIPlaxCham,10,9321.244999999999
GPU-AIPlaxCham,12,7876.768
GPU-AIPlaxCham,14,6432.22
GPU-AIPlaxCham,16,5605.073
GPU-AIPlaxCham,18,5164.37
GPU-AIPlaxCham,20,5075.408
GPU-AIPlaxCham,22,4470.83
GPU-AIPlaxCham,24,4978.032
GPU-AIPlaxCham,26,3923.66
GPU-AIPlaxCham,28,3562.3160000000003
GPU-AIPlaxCham,30,3544.492
GPU-AIPlaxCham,32,3226.9860000000003
GPU-AIPlaxCham,34,3071.8160000000003
GPU-AIPlaxCham,36,3167.913
GPU-AIPlaxCham,38,2888.297
GPU-AIPlaxCham,40,2784.712
GPU-AIPlaxCham,42,2662.953
GPU-AIPlaxCham,44,3231.529
GPU-AIPlaxCham,46,2546.1839999999997
GPU-AIPlaxCham,48,2721.256
GPU-AIPlaxCham,50,2475.721
GPU-AIPlaxCham,52,2557.0
GPU-AIPlaxCham,54,2488.4230000000002
GPU-AIPlaxCham,56,2437.447
GPU-AIPlaxCham,58,2086.9179999999997
GPU-AIPlaxCham,60,2387.6240000000003
GPU-AIPlaxCham,62,2029.2849999999999
GPU-AIPlaxCham,64,2016.422
GPU-AIPlaxCham,66,1988.39
GPU-AIPlaxCham,68,1968.7740000000001
GPU-AIPlaxCham,70,1969.061
GPU-AIPlaxCham,72,1962.501
GPU-AIPlaxCham,74,1940.55
GPU-AIPlaxCham,76,1912.709
GPU-AIPlaxCham,78,1874.565
GPU-AIPlaxCham,80,1857.797
GPU-AIPlaxCham,82,1847.685
GPU-AIPlaxCham,84,1554.1799999999998
GPU-AIPlaxCham,86,1543.3319999999999
GPU-AIPlaxCham,88,1514.276
GPU-AIPlaxCham,90,1497.3799999999999
GPU-AIPlaxCham,92,1590.565
GPU-AIPlaxCham,94,1492.612
GPU-AIPlaxCham,96,1476.515
GPU-AIPlaxCham,98,1443.5880000000002
GPU-AIPlaxCham,100,1372.8990000000001
GPU-AIPlaxCham,102,1377.187
GPU-AIPlaxCham,104,1341.5079999999998
